"Activity" "Subject" "Feature" "Mean"
"laying" 1 "TimeBodyAccelerometer.MeanX-Axis" 0.22159824394
"laying" 2 "TimeBodyAccelerometer.MeanX-Axis" 0.281373403958333
"laying" 3 "TimeBodyAccelerometer.MeanX-Axis" 0.275516852741935
"laying" 4 "TimeBodyAccelerometer.MeanX-Axis" 0.263559214981481
"laying" 5 "TimeBodyAccelerometer.MeanX-Axis" 0.278334325576923
"laying" 6 "TimeBodyAccelerometer.MeanX-Axis" 0.248656520140351
"laying" 7 "TimeBodyAccelerometer.MeanX-Axis" 0.250176694038462
"laying" 8 "TimeBodyAccelerometer.MeanX-Axis" 0.261254282907407
"laying" 9 "TimeBodyAccelerometer.MeanX-Axis" 0.2591955368
"laying" 10 "TimeBodyAccelerometer.MeanX-Axis" 0.280230574137931
"laying" 11 "TimeBodyAccelerometer.MeanX-Axis" 0.280592970877193
"laying" 12 "TimeBodyAccelerometer.MeanX-Axis" 0.260113433
"laying" 13 "TimeBodyAccelerometer.MeanX-Axis" 0.276716360483871
"laying" 14 "TimeBodyAccelerometer.MeanX-Axis" 0.233275439803922
"laying" 15 "TimeBodyAccelerometer.MeanX-Axis" 0.2894756525
"laying" 16 "TimeBodyAccelerometer.MeanX-Axis" 0.274227162571429
"laying" 17 "TimeBodyAccelerometer.MeanX-Axis" 0.269780085577465
"laying" 18 "TimeBodyAccelerometer.MeanX-Axis" 0.274691576923077
"laying" 19 "TimeBodyAccelerometer.MeanX-Axis" 0.272653733493976
"laying" 20 "TimeBodyAccelerometer.MeanX-Axis" 0.239507882205882
"laying" 21 "TimeBodyAccelerometer.MeanX-Axis" 0.271325472455556
"laying" 22 "TimeBodyAccelerometer.MeanX-Axis" 0.279959721194444
"laying" 23 "TimeBodyAccelerometer.MeanX-Axis" 0.274038007986111
"laying" 24 "TimeBodyAccelerometer.MeanX-Axis" 0.272850494930556
"laying" 25 "TimeBodyAccelerometer.MeanX-Axis" 0.250791828613699
"laying" 26 "TimeBodyAccelerometer.MeanX-Axis" 0.271645864540789
"laying" 27 "TimeBodyAccelerometer.MeanX-Axis" 0.274102492432432
"laying" 28 "TimeBodyAccelerometer.MeanX-Axis" 0.2759134825
"laying" 29 "TimeBodyAccelerometer.MeanX-Axis" 0.287295196811594
"laying" 30 "TimeBodyAccelerometer.MeanX-Axis" 0.281033900571429
"sitting" 1 "TimeBodyAccelerometer.MeanX-Axis" 0.261237565425532
"sitting" 2 "TimeBodyAccelerometer.MeanX-Axis" 0.27708735173913
"sitting" 3 "TimeBodyAccelerometer.MeanX-Axis" 0.257197599134615
"sitting" 4 "TimeBodyAccelerometer.MeanX-Axis" 0.27153827992
"sitting" 5 "TimeBodyAccelerometer.MeanX-Axis" 0.273694139545455
"sitting" 6 "TimeBodyAccelerometer.MeanX-Axis" 0.276778487454545
"sitting" 7 "TimeBodyAccelerometer.MeanX-Axis" 0.284674637291667
"sitting" 8 "TimeBodyAccelerometer.MeanX-Axis" 0.267491472934783
"sitting" 9 "TimeBodyAccelerometer.MeanX-Axis" 0.24832674354
"sitting" 10 "TimeBodyAccelerometer.MeanX-Axis" 0.270612056481481
"sitting" 11 "TimeBodyAccelerometer.MeanX-Axis" 0.276590197358491
"sitting" 12 "TimeBodyAccelerometer.MeanX-Axis" 0.275007224901961
"sitting" 13 "TimeBodyAccelerometer.MeanX-Axis" 0.274328499591837
"sitting" 14 "TimeBodyAccelerometer.MeanX-Axis" 0.279990577037037
"sitting" 15 "TimeBodyAccelerometer.MeanX-Axis" 0.27290337979661
"sitting" 16 "TimeBodyAccelerometer.MeanX-Axis" 0.280768574492754
"sitting" 17 "TimeBodyAccelerometer.MeanX-Axis" 0.2773570196875
"sitting" 18 "TimeBodyAccelerometer.MeanX-Axis" 0.27727001877193
"sitting" 19 "TimeBodyAccelerometer.MeanX-Axis" 0.273830316164384
"sitting" 20 "TimeBodyAccelerometer.MeanX-Axis" 0.278045439090909
"sitting" 21 "TimeBodyAccelerometer.MeanX-Axis" 0.277539616823529
"sitting" 22 "TimeBodyAccelerometer.MeanX-Axis" 0.273583822709677
"sitting" 23 "TimeBodyAccelerometer.MeanX-Axis" 0.273351251617647
"sitting" 24 "TimeBodyAccelerometer.MeanX-Axis" 0.273475690147059
"sitting" 25 "TimeBodyAccelerometer.MeanX-Axis" 0.278541482461538
"sitting" 26 "TimeBodyAccelerometer.MeanX-Axis" 0.258243530166667
"sitting" 27 "TimeBodyAccelerometer.MeanX-Axis" 0.273941302571429
"sitting" 28 "TimeBodyAccelerometer.MeanX-Axis" 0.276977629444444
"sitting" 29 "TimeBodyAccelerometer.MeanX-Axis" 0.2771799775
"sitting" 30 "TimeBodyAccelerometer.MeanX-Axis" 0.268336081379032
"standing" 1 "TimeBodyAccelerometer.MeanX-Axis" 0.278917629056604
"standing" 2 "TimeBodyAccelerometer.MeanX-Axis" 0.277911472222222
"standing" 3 "TimeBodyAccelerometer.MeanX-Axis" 0.280046513278689
"standing" 4 "TimeBodyAccelerometer.MeanX-Axis" 0.280499745892857
"standing" 5 "TimeBodyAccelerometer.MeanX-Axis" 0.282544390892857
"standing" 6 "TimeBodyAccelerometer.MeanX-Axis" 0.280346248596491
"standing" 7 "TimeBodyAccelerometer.MeanX-Axis" 0.282723539433962
"standing" 8 "TimeBodyAccelerometer.MeanX-Axis" 0.279620986111111
"standing" 9 "TimeBodyAccelerometer.MeanX-Axis" 0.282310057333333
"standing" 10 "TimeBodyAccelerometer.MeanX-Axis" 0.276650300681818
"standing" 11 "TimeBodyAccelerometer.MeanX-Axis" 0.277715562765957
"standing" 12 "TimeBodyAccelerometer.MeanX-Axis" 0.277405834918033
"standing" 13 "TimeBodyAccelerometer.MeanX-Axis" 0.277758431052632
"standing" 14 "TimeBodyAccelerometer.MeanX-Axis" 0.280545613833333
"standing" 15 "TimeBodyAccelerometer.MeanX-Axis" 0.278915803962264
"standing" 16 "TimeBodyAccelerometer.MeanX-Axis" 0.283497402948718
"standing" 17 "TimeBodyAccelerometer.MeanX-Axis" 0.277942503333333
"standing" 18 "TimeBodyAccelerometer.MeanX-Axis" 0.278458805890411
"standing" 19 "TimeBodyAccelerometer.MeanX-Axis" 0.27817226
"standing" 20 "TimeBodyAccelerometer.MeanX-Axis" 0.278076904657534
"standing" 21 "TimeBodyAccelerometer.MeanX-Axis" 0.27695224258427
"standing" 22 "TimeBodyAccelerometer.MeanX-Axis" 0.279053861587302
"standing" 23 "TimeBodyAccelerometer.MeanX-Axis" 0.277899323235294
"standing" 24 "TimeBodyAccelerometer.MeanX-Axis" 0.280348883913043
"standing" 25 "TimeBodyAccelerometer.MeanX-Axis" 0.278013701621622
"standing" 26 "TimeBodyAccelerometer.MeanX-Axis" 0.281127035405405
"standing" 27 "TimeBodyAccelerometer.MeanX-Axis" 0.279566921625
"standing" 28 "TimeBodyAccelerometer.MeanX-Axis" 0.277795069113924
"standing" 29 "TimeBodyAccelerometer.MeanX-Axis" 0.277965065846154
"standing" 30 "TimeBodyAccelerometer.MeanX-Axis" 0.277112699152542
"walking" 1 "TimeBodyAccelerometer.MeanX-Axis" 0.277330758736842
"walking" 2 "TimeBodyAccelerometer.MeanX-Axis" 0.276426586440678
"walking" 3 "TimeBodyAccelerometer.MeanX-Axis" 0.275567462068966
"walking" 4 "TimeBodyAccelerometer.MeanX-Axis" 0.278582015166667
"walking" 5 "TimeBodyAccelerometer.MeanX-Axis" 0.27784234625
"walking" 6 "TimeBodyAccelerometer.MeanX-Axis" 0.283658868070175
"walking" 7 "TimeBodyAccelerometer.MeanX-Axis" 0.275592961754386
"walking" 8 "TimeBodyAccelerometer.MeanX-Axis" 0.27468631
"walking" 9 "TimeBodyAccelerometer.MeanX-Axis" 0.278502842115385
"walking" 10 "TimeBodyAccelerometer.MeanX-Axis" 0.278574076603774
"walking" 11 "TimeBodyAccelerometer.MeanX-Axis" 0.271821892881356
"walking" 12 "TimeBodyAccelerometer.MeanX-Axis" 0.2771286656
"walking" 13 "TimeBodyAccelerometer.MeanX-Axis" 0.275883130350877
"walking" 14 "TimeBodyAccelerometer.MeanX-Axis" 0.271959598644068
"walking" 15 "TimeBodyAccelerometer.MeanX-Axis" 0.273899207962963
"walking" 16 "TimeBodyAccelerometer.MeanX-Axis" 0.276023564509804
"walking" 17 "TimeBodyAccelerometer.MeanX-Axis" 0.272341855245902
"walking" 18 "TimeBodyAccelerometer.MeanX-Axis" 0.273887758571429
"walking" 19 "TimeBodyAccelerometer.MeanX-Axis" 0.273931172307692
"walking" 20 "TimeBodyAccelerometer.MeanX-Axis" 0.272589336470588
"walking" 21 "TimeBodyAccelerometer.MeanX-Axis" 0.279183526730769
"walking" 22 "TimeBodyAccelerometer.MeanX-Axis" 0.27886459
"walking" 23 "TimeBodyAccelerometer.MeanX-Axis" 0.273211884237288
"walking" 24 "TimeBodyAccelerometer.MeanX-Axis" 0.276980816034483
"walking" 25 "TimeBodyAccelerometer.MeanX-Axis" 0.278992759054054
"walking" 26 "TimeBodyAccelerometer.MeanX-Axis" 0.279264443728814
"walking" 27 "TimeBodyAccelerometer.MeanX-Axis" 0.276849485438596
"walking" 28 "TimeBodyAccelerometer.MeanX-Axis" 0.281228223888889
"walking" 29 "TimeBodyAccelerometer.MeanX-Axis" 0.271999916792453
"walking" 30 "TimeBodyAccelerometer.MeanX-Axis" 0.276406758
"walking downstairs" 1 "TimeBodyAccelerometer.MeanX-Axis" 0.289188320408163
"walking downstairs" 2 "TimeBodyAccelerometer.MeanX-Axis" 0.27761534806383
"walking downstairs" 3 "TimeBodyAccelerometer.MeanX-Axis" 0.292423484693878
"walking downstairs" 4 "TimeBodyAccelerometer.MeanX-Axis" 0.279965329555556
"walking downstairs" 5 "TimeBodyAccelerometer.MeanX-Axis" 0.29354392712766
"walking downstairs" 6 "TimeBodyAccelerometer.MeanX-Axis" 0.277045258145833
"walking downstairs" 7 "TimeBodyAccelerometer.MeanX-Axis" 0.28030708
"walking downstairs" 8 "TimeBodyAccelerometer.MeanX-Axis" 0.283484089210526
"walking downstairs" 9 "TimeBodyAccelerometer.MeanX-Axis" 0.295923445
"walking downstairs" 10 "TimeBodyAccelerometer.MeanX-Axis" 0.29040159431579
"walking downstairs" 11 "TimeBodyAccelerometer.MeanX-Axis" 0.291605631956522
"walking downstairs" 12 "TimeBodyAccelerometer.MeanX-Axis" 0.281521097391304
"walking downstairs" 13 "TimeBodyAccelerometer.MeanX-Axis" 0.294907553404255
"walking downstairs" 14 "TimeBodyAccelerometer.MeanX-Axis" 0.293422115555556
"walking downstairs" 15 "TimeBodyAccelerometer.MeanX-Axis" 0.280198851190476
"walking downstairs" 16 "TimeBodyAccelerometer.MeanX-Axis" 0.295586802191489
"walking downstairs" 17 "TimeBodyAccelerometer.MeanX-Axis" 0.29391828326087
"walking downstairs" 18 "TimeBodyAccelerometer.MeanX-Axis" 0.288439468909091
"walking downstairs" 19 "TimeBodyAccelerometer.MeanX-Axis" 0.262688053871795
"walking downstairs" 20 "TimeBodyAccelerometer.MeanX-Axis" 0.296144421355556
"walking downstairs" 21 "TimeBodyAccelerometer.MeanX-Axis" 0.3014610196
"walking downstairs" 22 "TimeBodyAccelerometer.MeanX-Axis" 0.284458963861111
"walking downstairs" 23 "TimeBodyAccelerometer.MeanX-Axis" 0.289897411148148
"walking downstairs" 24 "TimeBodyAccelerometer.MeanX-Axis" 0.288631208909091
"walking downstairs" 25 "TimeBodyAccelerometer.MeanX-Axis" 0.291329666206897
"walking downstairs" 26 "TimeBodyAccelerometer.MeanX-Axis" 0.2792845828
"walking downstairs" 27 "TimeBodyAccelerometer.MeanX-Axis" 0.2975441875
"walking downstairs" 28 "TimeBodyAccelerometer.MeanX-Axis" 0.293642076521739
"walking downstairs" 29 "TimeBodyAccelerometer.MeanX-Axis" 0.293140441083333
"walking downstairs" 30 "TimeBodyAccelerometer.MeanX-Axis" 0.283190646967742
"walking upstairs" 1 "TimeBodyAccelerometer.MeanX-Axis" 0.255461689622641
"walking upstairs" 2 "TimeBodyAccelerometer.MeanX-Axis" 0.247164790395833
"walking upstairs" 3 "TimeBodyAccelerometer.MeanX-Axis" 0.260819873067797
"walking upstairs" 4 "TimeBodyAccelerometer.MeanX-Axis" 0.270876696730769
"walking upstairs" 5 "TimeBodyAccelerometer.MeanX-Axis" 0.268459469914894
"walking upstairs" 6 "TimeBodyAccelerometer.MeanX-Axis" 0.268229355098039
"walking upstairs" 7 "TimeBodyAccelerometer.MeanX-Axis" 0.248706923078431
"walking upstairs" 8 "TimeBodyAccelerometer.MeanX-Axis" 0.25888015204878
"walking upstairs" 9 "TimeBodyAccelerometer.MeanX-Axis" 0.262436475714286
"walking upstairs" 10 "TimeBodyAccelerometer.MeanX-Axis" 0.267121853404255
"walking upstairs" 11 "TimeBodyAccelerometer.MeanX-Axis" 0.263775859277778
"walking upstairs" 12 "TimeBodyAccelerometer.MeanX-Axis" 0.272970338653846
"walking upstairs" 13 "TimeBodyAccelerometer.MeanX-Axis" 0.258203939581818
"walking upstairs" 14 "TimeBodyAccelerometer.MeanX-Axis" 0.26242106612963
"walking upstairs" 15 "TimeBodyAccelerometer.MeanX-Axis" 0.270187595833333
"walking upstairs" 16 "TimeBodyAccelerometer.MeanX-Axis" 0.255986102627451
"walking upstairs" 17 "TimeBodyAccelerometer.MeanX-Axis" 0.252604768583333
"walking upstairs" 18 "TimeBodyAccelerometer.MeanX-Axis" 0.265401201896552
"walking upstairs" 19 "TimeBodyAccelerometer.MeanX-Axis" 0.242118808925
"walking upstairs" 20 "TimeBodyAccelerometer.MeanX-Axis" 0.252098317156863
"walking upstairs" 21 "TimeBodyAccelerometer.MeanX-Axis" 0.265194544680851
"walking upstairs" 22 "TimeBodyAccelerometer.MeanX-Axis" 0.248391534566667
"walking upstairs" 23 "TimeBodyAccelerometer.MeanX-Axis" 0.249995171031373
"walking upstairs" 24 "TimeBodyAccelerometer.MeanX-Axis" 0.269881106779661
"walking upstairs" 25 "TimeBodyAccelerometer.MeanX-Axis" 0.277995411384615
"walking upstairs" 26 "TimeBodyAccelerometer.MeanX-Axis" 0.272691394545455
"walking upstairs" 27 "TimeBodyAccelerometer.MeanX-Axis" 0.265770253921569
"walking upstairs" 28 "TimeBodyAccelerometer.MeanX-Axis" 0.262005841764706
"walking upstairs" 29 "TimeBodyAccelerometer.MeanX-Axis" 0.265423066877551
"walking upstairs" 30 "TimeBodyAccelerometer.MeanX-Axis" 0.271415642261538
"laying" 1 "TimeBodyAccelerometer.MeanY-Axis" -0.0405139534294
"laying" 2 "TimeBodyAccelerometer.MeanY-Axis" -0.0181587397583333
"laying" 3 "TimeBodyAccelerometer.MeanY-Axis" -0.0189556785048387
"laying" 4 "TimeBodyAccelerometer.MeanY-Axis" -0.0150031841055556
"laying" 5 "TimeBodyAccelerometer.MeanY-Axis" -0.0183042123269231
"laying" 6 "TimeBodyAccelerometer.MeanY-Axis" -0.0102529170561404
"laying" 7 "TimeBodyAccelerometer.MeanY-Axis" -0.0204411516884615
"laying" 8 "TimeBodyAccelerometer.MeanY-Axis" -0.0212281733881481
"laying" 9 "TimeBodyAccelerometer.MeanY-Axis" -0.020526821662
"laying" 10 "TimeBodyAccelerometer.MeanY-Axis" -0.024294484137931
"laying" 11 "TimeBodyAccelerometer.MeanY-Axis" -0.0176598052315789
"laying" 12 "TimeBodyAccelerometer.MeanY-Axis" -0.0175203917146667
"laying" 13 "TimeBodyAccelerometer.MeanY-Axis" -0.020440454366129
"laying" 14 "TimeBodyAccelerometer.MeanY-Axis" -0.0113424652490196
"laying" 15 "TimeBodyAccelerometer.MeanY-Axis" -0.0166296542054167
"laying" 16 "TimeBodyAccelerometer.MeanY-Axis" -0.0166103510562857
"laying" 17 "TimeBodyAccelerometer.MeanY-Axis" -0.0168462006729577
"laying" 18 "TimeBodyAccelerometer.MeanY-Axis" -0.0173937684615385
"laying" 19 "TimeBodyAccelerometer.MeanY-Axis" -0.0171426864421687
"laying" 20 "TimeBodyAccelerometer.MeanY-Axis" -0.0144406281132353
"laying" 21 "TimeBodyAccelerometer.MeanY-Axis" -0.0184233048415556
"laying" 22 "TimeBodyAccelerometer.MeanY-Axis" -0.0142629864502778
"laying" 23 "TimeBodyAccelerometer.MeanY-Axis" -0.0216553835833333
"laying" 24 "TimeBodyAccelerometer.MeanY-Axis" -0.0173555210111111
"laying" 25 "TimeBodyAccelerometer.MeanY-Axis" -0.0188943663671233
"laying" 26 "TimeBodyAccelerometer.MeanY-Axis" -0.0191895728026316
"laying" 27 "TimeBodyAccelerometer.MeanY-Axis" -0.0179867611216216
"laying" 28 "TimeBodyAccelerometer.MeanY-Axis" -0.0167537858225
"laying" 29 "TimeBodyAccelerometer.MeanY-Axis" -0.0171965484202899
"laying" 30 "TimeBodyAccelerometer.MeanY-Axis" -0.0194494098614286
"sitting" 1 "TimeBodyAccelerometer.MeanY-Axis" -0.00130828765170213
"sitting" 2 "TimeBodyAccelerometer.MeanY-Axis" -0.0156879937282609
"sitting" 3 "TimeBodyAccelerometer.MeanY-Axis" -0.0035029984173077
"sitting" 4 "TimeBodyAccelerometer.MeanY-Axis" -0.007163065158
"sitting" 5 "TimeBodyAccelerometer.MeanY-Axis" -0.00990083527045455
"sitting" 6 "TimeBodyAccelerometer.MeanY-Axis" -0.0145911615290909
"sitting" 7 "TimeBodyAccelerometer.MeanY-Axis" -0.01461097580375
"sitting" 8 "TimeBodyAccelerometer.MeanY-Axis" -0.00672550621304348
"sitting" 9 "TimeBodyAccelerometer.MeanY-Axis" -0.02701677698
"sitting" 10 "TimeBodyAccelerometer.MeanY-Axis" -0.015042681852037
"sitting" 11 "TimeBodyAccelerometer.MeanY-Axis" -0.0149195616754717
"sitting" 12 "TimeBodyAccelerometer.MeanY-Axis" -0.0157892988523529
